UTC Datetime,Local Datetime,countlineName,direction,Pedestrian
2023-10-02 08:45:00,2023-10-02 09:45:00,S1_ParkRow_path_RHS_uob001,out,314
2023-10-02 09:00:00,2023-10-02 10:00:00,S1_ParkRow_path_RHS_uob001,in,97
2023-10-02 09:00:00,2023-10-02 10:00:00,S1_ParkRow_path_RHS_uob001,out,52
2023-10-02 09:15:00,2023-10-02 10:15:00,S1_ParkRow_path_RHS_uob001,in,33
2023-10-02 09:15:00,2023-10-02 10:15:00,S1_ParkRow_path_RHS_uob001,out,45
2023-10-02 09:30:00,2023-10-02 10:30:00,S1_ParkRow_path_RHS_uob001,in,27
2023-10-02 09:30:00,2023-10-02 10:30:00,S1_ParkRow_path_RHS_uob001,out,176
2023-10-02 09:45:00,2023-10-02 10:45:00,S1_ParkRow_path_RHS_uob001,in,107
2023-10-02 09:45:00,2023-10-02 10:45:00,S1_ParkRow_path_RHS_uob001,out,193
2023-10-02 10:00:00,2023-10-02 11:00:00,S1_ParkRow_path_RHS_uob001,in,178
2023-10-02 10:00:00,2023-10-02 11:00:00,S1_ParkRow_path_RHS_uob001,out,28
2023-10-02 10:15:00,2023-10-02 11:15:00,S1_ParkRow_path_RHS_uob001,in,67
2023-10-02 10:15:00,2023-10-02 11:15:00,S1_ParkRow_path_RHS_uob001,out,45
2023-10-02 10:30:00,2023-10-02 11:30:00,S1_ParkRow_path_RHS_uob001,in,30
2023-10-02 10:30:00,2023-10-02 11:30:00,S1_ParkRow_path_RHS_uob001,out,135
2023-10-02 10:45:00,2023-10-02 11:45:00,S1_ParkRow_path_RHS_uob001,in,64
2023-10-02 10:45:00,2023-10-02 11:45:00,S1_ParkRow_path_RHS_uob001,out,165
2023-10-02 11:00:00,2023-10-02 12:00:00,S1_ParkRow_path_RHS_uob001,in,105
2023-10-02 11:00:00,2023-10-02 12:00:00,S1_ParkRow_path_RHS_uob001,out,42
